timestamp,head_direction,blink_flag,predicted_label
0.359,0,0,0
0.454,0,0,0
0.486,0,0,0
0.516,0,0,0
1.04,0,0,0
1.078,0,0,0
1.118,0,0,0
1.15,0,0,0
1.19,0,0,0
1.43,0,0,0
1.459,0,0,0
1.524,0,0,0
1.558,0,0,0
1.598,0,0,0
1.836,0,0,0
1.884,0,0,0
1.921,0,0,0
1.964,0,0,0
1.999,0,0,0
2.207,0,0,0
2.24,0,0,0
2.274,0,0,0
2.314,0,0,0
2.349,0,1,0
2.544,0,0,0
2.581,0,0,0
2.61,0,0,0
2.658,0,0,0
2.694,0,0,0
2.884,0,0,0
2.924,0,0,0
2.955,0,0,0
2.992,0,0,0
3.033,0,0,0
3.224,0,0,0
3.267,0,0,0
3.292,0,0,0
3.336,0,0,0
3.376,0,0,0
3.583,0,0,0
3.618,0,0,0
3.651,0,0,0
3.692,0,0,0
3.73,0,0,0
3.947,0,0,0
3.989,0,0,0
4.033,0,0,0
4.074,0,0,0
4.119,0,0,0
4.325,0,0,0
4.372,0,0,0
4.407,0,0,0
4.446,0,0,0
4.483,0,0,0
4.752,0,0,0
4.803,0,0,0
4.85,0,0,0
4.907,0,0,0
4.96,0,0,0
5.328,0,0,0
7.271,0,0,0
7.301,0,0,0
7.32,0,0,0
7.356,0,0,0
7.624,0,0,0
7.664,0,0,0
7.706,0,0,0
7.747,0,0,0
7.811,0,0,0
8.04,0,0,0
8.08,0,0,0
8.14,0,0,0
8.181,0,0,0
8.224,0,0,0
8.462,0,0,0
8.504,0,0,0
8.57,0,0,0
8.616,0,0,0
8.659,0,0,0
8.871,0,0,0
8.919,0,0,0
8.948,0,0,0
8.986,0,0,0
9.029,0,0,0
9.241,0,0,0
9.293,0,0,0
9.333,0,0,0
9.372,0,0,0
9.414,0,0,0
9.634,0,0,0
9.679,0,0,0
9.725,0,0,0
9.762,0,0,0
9.794,0,0,0
10.126,0,0,0
10.189,0,0,0
10.257,0,0,0
10.324,0,0,0
10.393,0,0,0
12.872,0,0,0
12.917,0,0,0
12.961,0,0,0
13.007,0,0,0
13.051,0,0,0
13.274,0,0,0
13.321,0,0,0
13.366,0,0,0
13.422,0,0,0
13.471,0,0,0
13.757,0,0,0
13.806,0,0,0
13.861,0,0,0
13.91,0,0,0
13.957,0,0,0
14.201,0,0,0
14.253,0,0,0
14.306,0,0,0
14.345,0,0,0
14.395,0,0,0
14.713,0,0,0
14.766,0,0,0
