timestamp,head_direction,blink_flag
0.425,99,0
0.513,99,0
0.525,99,0
0.548,99,0
0.565,99,0
0.575,99,0
0.59,99,0
0.621,99,0
0.667,99,0
0.699,99,0
0.736,99,0
0.764,99,0
0.8,99,0
0.833,99,0
0.86,99,0
0.897,99,0
0.931,99,0
0.961,99,0
1.008,99,0
1.099,99,0
1.121,99,0
1.134,99,0
1.145,99,0
1.166,99,0
1.199,99,0
1.232,99,0
1.264,99,0
1.296,99,0
1.326,99,0
1.375,99,0
1.415,99,0
1.442,99,0
1.473,99,0
1.504,99,0
1.537,99,0
1.569,99,0
1.6,99,0
1.634,99,0
1.665,99,0
1.695,99,0
1.743,99,0
1.776,99,0
1.809,99,0
1.843,99,0
1.872,99,0
1.904,99,0
1.953,99,0
1.968,99,0
1.998,99,0
2.032,99,0
2.075,99,0
2.107,99,0
2.14,99,0
2.176,99,0
2.208,99,0
2.241,99,0
2.276,99,0
2.304,99,0
2.336,99,0
2.369,99,0
2.412,99,0
2.445,99,0
2.478,99,0
2.511,99,0
2.544,99,0
2.573,99,0
2.605,99,0
2.638,99,0
2.668,99,0
2.699,99,0
2.734,99,0
2.769,99,0
2.816,99,0
2.847,99,0
2.878,99,0
2.911,99,0
2.941,99,0
2.972,99,0
3.006,99,0
3.038,99,0
3.074,99,0
3.105,99,0
3.147,99,0
3.185,99,0
3.217,99,0
3.249,99,0
3.283,99,0
3.36,99,0
3.373,99,0
3.38,99,0
3.406,99,0
3.442,99,0
3.453,99,0
3.489,99,0
3.556,99,0
3.585,99,0
3.616,99,0
3.709,99,0
3.724,99,0
3.739,99,0
3.748,99,0
3.777,99,0
3.81,99,0
3.82,99,0
3.841,99,0
3.889,99,0
3.952,99,0
3.989,99,0
4.015,99,0
4.045,99,0
4.129,99,0
4.142,99,0
4.152,99,0
4.174,99,0
4.192,99,0
4.22,99,0
4.256,99,0
4.288,99,0
4.352,99,0
4.384,99,0
4.421,99,0
4.445,99,0
4.478,99,0
4.512,99,0
4.526,99,0
4.541,99,0
4.592,99,0
4.627,99,0
4.673,99,0
4.69,99,0
4.755,99,0
4.781,99,0
4.81,99,0
4.846,99,0
4.875,99,0
4.888,99,0
4.907,99,0
4.962,99,0
4.992,99,0
5.025,99,0
5.062,99,0
5.091,99,0
5.146,99,0
5.257,99,0
5.269,99,0
5.281,99,0
5.296,99,0
5.305,99,0
5.322,99,0
5.36,99,0
5.398,99,0
5.426,99,0
5.456,99,0
5.494,99,0
5.551,99,0
5.585,99,0
5.604,99,0
5.715,0,1
5.746,0,0
5.768,0,0
5.795,0,0
5.82,0,0
5.839,0,0
5.924,0,1
5.95,0,0
5.972,0,0
6.008,0,0
6.076,0,0
6.102,0,0
6.14,0,1
6.175,0,0
6.196,0,0
6.236,0,0
6.266,0,0
6.314,0,0
6.33,0,1
6.378,0,0
6.427,0,0
6.452,0,0
6.472,0,0
6.503,0,0
6.537,0,1
6.564,0,0
6.6,0,0
6.628,0,0
6.662,0,0
6.692,0,0
6.753,0,1
6.772,0,0
6.804,0,0
6.836,0,0
6.868,0,0
6.9,0,0
6.947,0,1
6.97,0,0
6.996,0,0
7.028,0,0
7.081,0,0
7.115,0,0
7.141,0,1
7.173,0,0
7.209,0,0
7.241,0,0
7.27,0,0
7.302,0,0
7.336,0,1
7.377,0,0
7.417,0,0
7.451,0,0
7.478,0,0
7.51,0,0
7.54,0,1
7.578,0,0
7.638,0,0
7.654,0,0
7.692,0,0
7.725,0,0
7.747,0,1
7.779,0,0
7.812,0,0
7.853,0,0
7.888,0,0
7.917,0,0
7.945,0,1
7.977,0,0
8.011,0,0
8.046,0,0
8.076,0,0
8.106,0,0
8.148,0,1
8.18,0,0
8.212,0,0
8.244,0,0
8.276,0,0
8.31,0,0
8.342,0,0
8.372,0,0
8.408,0,0
8.438,0,0
8.468,0,0
8.518,0,0
8.55,0,0
8.582,0,1
8.62,0,0
8.651,0,0
8.681,0,0
8.708,0,0
8.74,0,0
8.786,0,1
8.807,0,0
8.836,0,0
8.9,0,0
8.934,0,0
8.965,0,0
8.991,0,1
9.035,0,0
9.06,0,0
9.088,0,0
9.135,0,0
9.173,0,0
9.204,0,0
9.236,0,0
9.268,0,0
9.306,0,0
9.338,0,0
9.369,0,0
9.407,0,0
9.481,0,0
9.51,0,0
9.541,0,0
9.56,0,0
9.577,0,0
9.601,0,0
9.621,0,0
9.654,0,0
9.69,0,0
9.716,0,0
9.756,0,0
9.785,0,0
9.816,0,0
9.844,0,0
9.877,0,0
9.908,0,0
9.97,0,0
9.994,0,1
10.021,0,0
10.054,0,0
10.093,0,0
10.162,0,0
10.187,0,0
10.208,0,0
10.242,0,0
10.277,0,0
10.314,0,0
10.357,0,0
10.39,0,0
10.432,0,0
10.476,0,0
10.497,0,0
10.52,0,0
10.535,0,0
10.573,0,0
10.611,0,0
10.646,0,0
10.673,0,0
10.709,0,0
10.742,0,0
10.765,0,0
10.79,0,0
10.822,0,0
10.853,0,0
10.887,0,0
10.917,0,0
10.951,0,0
10.972,0,0
10.997,0,0
11.031,0,0
11.061,0,0
11.1,0,0
11.176,0,0
11.198,0,0
11.285,0,0
11.333,0,0
11.372,0,0
11.445,0,0
11.468,0,0
11.541,0,0
11.565,0,0
11.599,0,0
11.644,0,0
11.661,0,0
11.686,0,0
11.701,0,0
11.726,0,0
11.773,0,0
